source_transaction_type,transaction_type_code,source_system
Stock Purchase,BUY,xtb_portugal
Stock Sale,SELL,xtb_portugal
Close Trade,SELL,xtb_portugal
Divident,INCOME,xtb_portugal
Free-Funds Interest,INCOME,xtb_portugal
Tax IFTT,TAX,xtb_portugal
Free-Funds Interest Tax,TAX,xtb_portugal
Withholding Tax,TAX,xtb_portugal
Sec Fee,FEE,xtb_portugal
Deposit,CASH_TRANSFER,xtb_portugal
Correction,CORPORATE_ACTION,xtb_portugal
Compra,BUY,xp_investimentos
Solicitação de Subscrição,BUY,xp_investimentos
Direitos de Subscrição - Exercido,BUY,xp_investimentos
Direitos de Subscrição - Excercído,BUY,xp_investimentos
Recibo de Subscrição,BUY,xp_investimentos
Venda,SELL,xp_investimentos
Leilão de Fração,SELL,xp_investimentos
Resgate,SELL,xp_investimentos
Dividendo,INCOME,xp_investimentos
Rendimento,INCOME,xp_investimentos
Juros,INCOME,xp_investimentos
Juros Sobre Capital Próprio,INCOME,xp_investimentos
Juros Sobre Capital Próprio - Transferido,INCOME,xp_investimentos
Transferência,CASH_TRANSFER,xp_investimentos
Bonificação em Ativos,CORPORATE_ACTION,xp_investimentos
Desdobro,CORPORATE_ACTION,xp_investimentos
Grupamento,CORPORATE_ACTION,xp_investimentos
Incorporação,CORPORATE_ACTION,xp_investimentos
Atualização,CORPORATE_ACTION,xp_investimentos
Fração em Ativos,CORPORATE_ACTION,xp_investimentos
Direito de Subscrição,CORPORATE_ACTION,xp_investimentos
Direito Sobras de Subscrição,CORPORATE_ACTION,xp_investimentos
Direito Sobras de Subscrição - Não Exercido,CORPORATE_ACTION,xp_investimentos
Cessão de Direitos,CORPORATE_ACTION,xp_investimentos
Cessão de Direitos - Solicitada,CORPORATE_ACTION,xp_investimentos
Direitos de Subscrição - Não Exercido,CORPORATE_ACTION,xp_investimentos
