ORIGINAL_SYMBOL,CURRENT_TICKER,YF_SUFFIX,COUNTRY_CODE,ASSET_CLASSIFICATION
4GLD.DE,4GLD,DE,DE,STOCK
A7RN11,A7RN11,SA,BR,REIT
A7RN3,A7RN3,SA,BR,STOCK
AAPL,AAPL,,US,STOCK
ABEV3,ABEV3,SA,BR,STOCK
AESB1,AESB3,SA,BR,STOCK
AESB3,AESB3,SA,BR,STOCK
ALUP11,ALUP11,SA,BR,REIT
ALZR11,ALZR11,SA,BR,REIT
ALZR12,ALZR11,SA,BR,REIT
ARCC,ARCC,,US,REIT
AURE3,AURE3,SA,BR,STOCK
BBAS3,BBAS3,SA,BR,STOCK
BBSE3,BBSE3,SA,BR,STOCK
BHIA3,VIIA3,SA,BR,STOCK
BIDI4,BIDI4,SA,BR,STOCK
BRFS3,BRFS3,SA,BR,STOCK
BTLG11,BTLG11,SA,BR,REIT
BTLG12,BTLG11,SA,BR,REIT
COGN3,COGN3,SA,BR,STOCK
COST,COST,,US,STOCK
CPLE6,CPLE6,SA,BR,STOCK
CVCB1,CVCB3,SA,BR,STOCK
CVCB3,CVCB3,SA,BR,STOCK
ENBR3,ENBR3,SA,BR,STOCK
ENEL.IT,ENEL,IT,IT,STOCK
EUNA.DE,EUNA,DE,DE,STOCK
EVEN3,EVEN3,SA,BR,STOCK
FLRY1,FLRY3,SA,BR,STOCK
FLRY3,FLRY3,SA,BR,STOCK
FLRY9,FLRY3,SA,BR,STOCK
HGLG11,HGLG11,SA,BR,REIT
HGLG12,HGLG11,SA,BR,REIT
HGRU11,HGRU11,SA,BR,REIT
HGRU12,HGRU11,SA,BR,REIT
IDVY.NL,IDVY,AS,NL,STOCK
IRDM11,IRDM11,SA,BR,REIT
IRDM12,IRDM11,SA,BR,REIT
IRIM11,IRIM11,SA,BR,REIT
IRIM15,IRIM11,SA,BR,REIT
ITSA10,ITSA4,SA,BR,STOCK
ITSA2,ITSA4,SA,BR,STOCK
ITSA4,ITSA4,SA,BR,STOCK
JNJ,JNJ,,US,STOCK
KNRI11,KNRI11,SA,BR,REIT
KNRI12,KNRI11,SA,BR,REIT
KNUQ11,KNUQ11,SA,BR,REIT
KNUQ12,KNUQ11,SA,BR,REIT
KO,KO,,US,STOCK
LDOS,LDOS,,US,STOCK
MAIN,MAIN,,US,REIT
MCCI11,MCCI11,SA,BR,REIT
MCCI12,MCCI11,SA,BR,REIT
MNST,MNST,,,STOCK
MSFT,MSFT,,,STOCK
NVDA,NVDA,,US,STOCK
O,O,,US,REIT
OUJP11,OUJP11,SA,BR,REIT
OUJP12,OUJP11,SA,BR,REIT
OXY,OXY,,US,STOCK
PFE,PFE,,US,STOCK
PFRM3,PFRM3,SA,BR,STOCK
PLTR,PLTR,,US,STOCK
RBRP11,RBRP11,SA,BR,REIT
RBRP12,RBRP11,SA,BR,REIT
RECR11,RECR11,SA,BR,REIT
RECR12,RECR11,SA,BR,REIT
SAPR11,SAPR11,SA,BR,REIT
SOJA3,SOJA3,SA,BR,STOCK
SQIA3,SQIA3,SA,BR,STOCK
STBP3,STBP3,SA,BR,STOCK
SXRV.DE,SXRV,DE,DE,STOCK
TESOURO IPCA+ COM JUROS SEMESTRAIS 2035,TESOURO IPCA+ COM JUROS SEMESTRAIS 2035,,,BOND
TESOURO SELIC 2025,TESOURO SELIC 2025,,,BOND
TIET11,TIET11,SA,BR,REIT
TTD,TTD,,US,STOCK
TTE.FR,TTE,PA,FR,STOCK
UNIP6,UNIP6,SA,BR,STOCK
VALE3,VALE3,SA,BR,STOCK
VHYD.UK,VHYD,L,GB,STOCK
VIIA3,VIIA3,SA,BR,STOCK
VILG11,VILG11,SA,BR,REIT
VRTA11,VRTA11,SA,BR,REIT
VRTA12,VRTA11,SA,BR,REIT
VVAR3,VIIA3,SA,BR,STOCK
WDP.BE,WDP,BR,BE,STOCK
XPLG11,XPLG11,SA,BR,REIT
XPLG12,XPLG11,SA,BR,REIT
XPML11,XPML11,SA,BR,REIT
XPML12,XPML11,SA,BR,REIT
